Source	Target	IntType	TrueNNVeri	Weight
miR-133a	TAS2R8	Activate	0	0.294176
miR-133a	TBC1D8B	Activate	0	0.360977
miR-133a	TBK1	Activate	0	0.360941
miR-133a	TBRG1	Activate	0	0.100230
miR-133a	TCF7	Activate	1	0.146248
miR-133a	TCF7L2	Activate	0	0.150890
miR-133a	TEC	Activate	0	0.184551
miR-133a	TENM3	Activate	0	0.128511
miR-133a	THBS2	Activate	0	0.612813
miR-133a	THEG	Activate	0	0.266211
miR-133a	TIAM1	Activate	0	0.153640
miR-133a	TMBIM6	Activate	0	0.133531
miR-133a	TMC4	Activate	0	0.170080
miR-133a	TTLL7	Activate	0	0.351531
miR-133a	TULP4	Activate	0	0.026839
miR-133a	TWSG1	Activate	0	0.271838
miR-133a	UBE2B	Activate	0	0.367736
miR-133a	UGGT2	Activate	0	0.028723
miR-133a	VCP	Activate	0	0.224667
miR-133a	VIPR1	Activate	0	0.007507
miR-133a	VPS13B	Activate	0	0.357729
miR-133a	WDR78	Activate	0	0.043693
miR-133a	WDR86	Activate	0	0.092675
miR-133a	XKR4	Activate	0	0.009870
miR-133a	ZCCHC6	Activate	0	0.452368
miR-133a	ZNF407	Activate	0	0.087358
miR-133a	ZNF518A	Activate	0	0.222155
miR-133a	ZNF814	Activate	0	0.154090
miR-1	ABCA9	Activate	0	0.002111
miR-1	ABCB11	Activate	0	0.119297
miR-1	ABCC3	Activate	0	0.115655
miR-1	ABCG4	Activate	0	0.274620
miR-1	ACER3	Activate	0	0.001657
miR-1	ACTG2	Activate	0	0.161895
miR-1	ADARB2	Activate	0	0.224683
miR-1	ADCY1	Activate	1	0.021168
miR-1	ADGB	Activate	0	0.192726
miR-1	ADRBK2	Activate	0	0.314923
miR-1	AHI1	Activate	0	0.098174
miR-1	AHSP	Activate	0	0.041944
miR-1	AIF1L	Activate	0	0.230009
miR-1	ALDH1A3	Activate	0	0.209872
miR-1	ALOX5	Activate	0	0.025441
miR-1	AMOT	Activate	0	0.140684
miR-1	AMPD2	Activate	0	0.166239
miR-1	ANKRD28	Activate	0	0.248640
miR-1	ANO10	Activate	0	0.308544
miR-1	ANTXR2	Activate	0	0.004171
miR-1	APPL2	Activate	0	0.010664
miR-1	ARHGAP17	Activate	0	0.210419
miR-1	ARHGAP22	Activate	0	0.291649
miR-1	ARHGDIG	Activate	0	0.268682
miR-1	ASIC1	Activate	0	0.138474
miR-1	ATG10	Activate	0	0.125508
miR-1	ATG16L1	Inhabit	0	-5.071123
miR-1	ATP10B	Activate	0	0.005518
miR-1	ATP6V1E2	Activate	0	0.220181
miR-1	B4GALNT3	Activate	0	0.070634
miR-1	B4GALT6	Activate	0	0.152131
miR-1	BAMBI	Activate	0	0.038940
miR-1	BBS2	Activate	0	0.053477
miR-1	BCL2L15	Activate	0	0.236576
miR-1	BFSP1	Activate	0	0.089830
miR-1	BMP4	Activate	0	0.143291
miR-1	BNIP3L	Inhabit	0	-4.934585
miR-1	BRD7	Activate	0	0.089416
miR-1	BRE	Activate	0	0.056951
miR-1	BRWD1	Activate	0	0.250784
miR-1	BSDC1	Activate	0	0.229660
miR-1	C10ORF54	Activate	0	0.111831
miR-1	C12ORF40	Activate	1	0.764119
miR-1	C19ORF81	Activate	0	0.618023
miR-1	C1S	Activate	0	0.053692
miR-1	C2ORF15	Activate	0	0.114357
miR-1	C3ORF52	Activate	0	0.378177
miR-1	C6ORF163	Activate	0	0.031945
miR-1	C9ORF47	Activate	0	0.124105
miR-1	CA13	Activate	0	0.280488
miR-1	CA4	Activate	0	0.122252
miR-1	CAB39	Activate	0	0.094635
miR-1	CACNA1B	Activate	0	0.058081
miR-1	CACNB2	Activate	0	0.240399
miR-1	CACYBP	Activate	0	0.093879
miR-1	CAPN10	Activate	0	0.235917
miR-1	CASC1	Activate	0	0.150563
miR-1	CATSPER1	Activate	0	0.153386
miR-1	CBLN3	Activate	0	0.182405
miR-1	CBR3	Activate	0	0.265133
miR-1	CCDC108	Activate	0	0.095843
miR-1	CCDC125	Activate	0	0.010209
miR-1	CCDC150	Activate	0	0.380670
miR-1	CD200	Activate	0	0.448037
miR-1	CD207	Activate	0	0.125948
miR-1	CD84	Activate	0	0.224372
miR-1	CDH13	Activate	1	0.866004
miR-1	CDK17	Activate	0	0.069607
miR-1	CEACAM5	Activate	0	0.024331
miR-1	CENPN	Activate	0	0.154081
miR-1	CERCAM	Activate	0	0.054857
miR-1	CES3	Activate	0	0.121420
miR-1	CHRFAM7A	Activate	0	0.099281
miR-1	CHRM2	Activate	0	0.024159
miR-1	CLDN4	Activate	0	0.047104
miR-1	CLEC4G	Activate	0	0.201298
miR-1	CLSTN2	Activate	0	0.418358
miR-1	CLTC	Activate	1	0.090091
miR-1	CNN3	Activate	1	0.069327
miR-1	CNST	Activate	0	0.104181
miR-1	COL23A1	Activate	0	0.017393
miR-1	COL28A1	Activate	0	0.213808
miR-1	COL4A3	Activate	1	0.080628
miR-1	COL6A3	Activate	0	0.019020
miR-1	COL9A1	Activate	0	0.131690
miR-1	CPT1C	Activate	0	0.079776
miR-1	CREG2	Activate	0	0.314989
miR-1	CRIPAK	Activate	0	0.263980
miR-1	CRISPLD2	Activate	0	0.252218
miR-1	CRYGN	Activate	0	0.216274
miR-1	CSF1R	Activate	0	0.196417
miR-1	CTPS2	Activate	0	0.074669
miR-1	CXCL16	Activate	0	0.208676
miR-1	CXORF23	Activate	1	0.062800
miR-1	CYB561	Activate	0	0.284995
miR-1	CYGB	Inhabit	0	-0.563078
miR-1	CYP1A2	Activate	0	0.066496
miR-1	CYP7B1	Activate	0	0.004159
miR-1	DCTN5	Activate	0	0.246588
miR-1	DDB1	Activate	0	0.299274
miR-1	DDR1	Activate	0	0.034610
miR-1	DDX26B	Activate	0	0.216967
miR-1	DEPDC5	Activate	0	0.186999
miR-1	DHX36	Activate	0	0.352766
miR-1	DICER1	Activate	0	0.292243
miR-1	DIS3L2	Activate	0	0.243975
miR-1	DLG2	Activate	0	0.181859
miR-1	DMXL2	Activate	0	0.080639
miR-1	DNAH12	Activate	0	0.384887
