0	gene	DN	DN	DN	ctrl	ctrl	ctrl
334	ALOX12P2	8.285864547	8.710462074	7.537606691	7.034523875	7.050936965	6.495055528
336	ALOX15B	7.692789835	6.936637939	7.010108453	5.815063017	6.309248961	4.986410935
337	ALOX5	7.98099637	8.088788239	8.65158991	5.736063628	5.359310317	6.174925683
339	ALPI	7.699745948	8.194756854	7.247927513	6.341630009	6.159871337	6
341	ALPL	10.44066157	8.962317655	10.53147894	9.03094296	7.688600011	8.055282436
346	AMBP	7.651051691	8.199672345	8.624247146	7.20261362	6.905687849	6.557655155
352	AMHR2	6.251719093	6.95070169	6.982993575	4.760220946	5.145677455	5.378511623
379	ANKRD1	7.681589817	5.416164165	6.557655155	4.09592442	5.181897643	3.786596362
395	ANPEP	12.59819211	12.22442381	13.10646479	11.93693234	11.98481006	11.50143915
397	ANXA10	7.989252565	9.106955457	8.456559766	6.277984747	7.440453944	6.203592714
410	AOAH	9.250535294	8.352705567	8.5360529	7.389738879	8.20994068	7.216260837
411	AOC1	12.54387766	12.11566144	13.04150516	11.73935871	11.80763667	9.948367232
414	AOC4P	11.03204573	10.69779293	10.38699412	9.279958736	9.224363509	9.513431527
438	APBB1	10.16867212	10.22400167	9.794253392	8.925109324	9.505613095	8.675251386
443	APCS	8.579315938	7.977279923	8.587590019	7.049848549	5.277984747	5.381975479
452	APOA1	6.236492618	6.622051819	7.8008999	5.935459748	5.197708158	5.482202926
453	APOA4	8.770498721	8.68474862	7.117902789	4.935459748	6.859224162	6.157852169
455	APOBEC1	8.801546703	8.411934625	6.238404739	5.760220946	5.529820947	5.329123596
456	APOBEC2	7.891176125	4.053111336	6.965784285	3.277984747	3.711494907	4.008988783
466	APOF	6.719731057	6.908092341	6.169925001	5.590961241	5.449561375	6.093813673
470	APOOL	8.205548911	8.350939182	9.31854281	7.071462363	7.409390936	5.399171094
474	AQP1	16.69892844	16.06987768	15.46049109	15.06945816	14.96262945	14.70811393
481	AQP8	10.17903824	10.66977089	10.2179577	7.961160258	9.769341987	8.480992104
488	ARC	10.79944353	10.913787	10.95528665	9.654098945	10.264208	9.373517716
520	ARHGAP6	6.849874194	6.996049728	6.146695948	6.145677455	5.560714954	5.663913842
528	ARHGEF15	11.42469119	11.5345947	11.44930343	9.670125098	9.719388821	10.1921695
575	ARR3	9.558612039	9.673309076	10.18623807	8.543805176	9.034248736	8.960581211
577	ARSA	10.36654079	9.741972515	10.80807931	7.029011087	7.199672345	9.786106233
579	ARSD	9.77016832	7.481395824	8.867896464	6.61176256	6.083213368	7.656067274
582	ART1	9.119459934	8.72417275	9.050664938	6.961160258	8.869439619	7.226893814
591	ASB9	8.738430088	9.124121312	8.870981124	8.225448469	8.34251919	6.97384084
605	ASMT	7.744833837	7.081083929	7.815703503	5.270528942	5.217230716	6.135452784
612	ASS1	13.72318096	13.50843856	13.9249702	12.83023789	12.75315406	11.8674332
625	ATF7	7.847996907	7.926888964	9.090244771	6.226893814	6.997179481	7.20310325
641	ATP10B	10.36686859	10.24019505	9.73623279	8.7478573	8.800576389	8.399598369
645	ATP12A	9.804615066	9.544191698	7.394891366	6.686500527	7.354910512	6.893604905
655	ATP2A3	11.58524425	10.9832074	11.14987411	9.837312556	8.67912818	10.8337598
658	ATP2B3	8.80928581	9.905387005	8.40173285	6.22881869	8.036173613	6.020146573
661	ATP2C2	10.2482834	10.34140763	9.852061279	9.260449141	9.085605237	9.56567333
663	ATP4B	9.055011227	8.182890893	8.48058827	6.590961241	7.605109074	6.400879436
670	ATP5G2	7.557655155	7.662846365	8.081083929	7.139551352	6.498250868	6.400879436
718	ATXN7L1	9.818901676	10.48904513	9.682467957	8.812819074	8.7370783	8.142107057
731	AVPR1B	9.515502735	8.672955647	9.865887892	8.64096791	8.417641579	7.860776616
735	AZGP1	10.12644636	9.682467957	10.21626084	9.096715154	8.441284272	7.487840034
743	B3GAT2	7.400025518	7.129283017	5.746850183	6.118941073	5.09592442	4.666756592
748	B4GALNT1	8.911991114	8.402159367	8.681238412	6.199672345	7.437960088	6.61176256
753	B4GALT5	8.968954728	9.431393133	8.443150765	8.506406766	7.294161219	7.493855449
765	BAI1	9.406842755	9.86387652	8.797661526	7.820817182	8.318768743	7.828453874
767	BAI3	7.017921908	7.212861117	4.523561956	4.54225805	4.43629512	4.412781525
777	BATF	6.927185358	6.668175869	6.941341105	5.683696454	6.055282436	5.995484519
778	BAX	12.78200714	12.60265711	11.40795814	10.86138162	10.8622654	10.84385826
823	BDKRB2	8.054739967	9.011926066	9.15747326	7.769176663	7.59058705	7.496654083
824	BDNF	6.961160258	7.434628228	7.111657346	5.23457796	4.263034406	3.754887502
830	BFSP1	7.956521363	8.447496547	8.401306206	6.061776198	5.711494907	7.682292371
831	BFSP2	8.860672964	9.178664851	9.5980525	7.039649477	7.224322988	8.401163679
859	BMP10	9.532550739	9.717676423	9.052839719	8.823048729	8.020702204	8.295998462
864	BMP5	5.543805176	6.220136447	6.007868243	5.123086751	5.089582893	4.399171094
873	BNC1	5.554588852	8.130313146	5.472487771	4.300123725	5.044394119	3.596935142
883	BPHL	11.23858387	11.54877375	11.41505511	10.28944258	10.18462744	10.63381261
889	BRCA1	7.955359305	8.567322215	7.996990874	7.412781525	6.915281866	6.740567381
891	BRD1	10.08463036	9.368506462	8.950895864	8.790511412	8.437960088	8.485694892
894	BRD4	10.62953877	10.93615941	10.48311038	10.05052891	9.864108745	9.494355604
896	BRDT	6.437960088	4.87774425	4.655351829	3.201633861	4.008988783	3.678071905
901	BRINP3	7.880501871	8.650513272	8.142362379	4.719731057	7.122569192	6.731319031
902	BRMS1	10.04336911	10.3625466	11.02413542	9.322942133	9.340406491	9.277519887
905	BRSK2	6.73470962	6.655351829	6.974988112	5.9795681	6.03562391	5.711494907
909	BSN	7.946613905	7.135452784	7.357552005	4.711494907	6.449561375	5.482202926
930	BTNL3	10.07588021	9.369815424	9.955940451	8.561096974	8.385431037	9.051208941
955	C16orf80	8.781851458	8.163901214	6.815063017	6.071462363	6.092757141	6.21916852
957	C18orf25	7.063934306	7.207502459	6.562242424	5.510961919	5.860466259	6.407692649
960	C19orf26	9.362601388	8.573647187	9.044120856	8.40173285	7.726218159	7.878050913
961	C19orf57	7.027905997	9.546122759	9.24531501	6.574404309	7.044394119	6.642412773
968	C1orf105	6.830356747	7.541483864	7.245077275	5.189824559	6.62935662	5.658211483
972	C1orf61	9.987595154	9.885238786	9.632389283	8.7370783	8.12532719	8.354175757
985	C2orf27A	8.006746832	8.797661526	7.084276911	5.733354341	6.840463234	6.62497818
989	C3orf27	9.317186468	7.425425735	7.675251386	6.093813673	6.506208389	6.92243574
1010	C8B	7.357552005	6.61176256	8.096451624	5.840463234	6.390598906	6.12722055
1012	C9	10.03108085	10.34806418	9.843764057	7.302867361	8.036723106	9.547472965
1022	CA4	10.65588845	10.57393115	10.28551781	9.063125393	9.562624039	8.846117173
1023	CA5A	7.186857067	8.315149562	8.628992257	5.754887502	4.749534268	4.897240426
1032	CACNA1B	9.50957709	9.168922782	9.064473329	8.453682186	8.7370783	8.101187815
1033	CACNA1C	9.822291984	9.045964381	9.116473928	8.160753835	8.770085708	8.28748153
1039	CACNA1S	8.615445725	8.732676223	7.182890893	5.336283388	5.847996907	6.632268215
