incR0	lncipediaID	Case1	Case2	Case3	control1	control2	control3
incR703	lnc-ZDHHC11-1:1	4.91521	4.5097446	4.5399857	4.207627	3.9760935	3.6739962
incR704	lnc-ZDHHC13-4:2	3.9201384	3.7661061	3.5801117	3.3109963	3.248421	3.3994765
incR705	lnc-ZDHHC13-6:1	7.602128	7.447766	7.417311	6.8878355	7.1519485	7.1812043
incR706	lnc-ZDHHC15-1:1	4.2349534	3.7631052	4.1316056	3.5370486	2.4834077	2.286976
incR707	lnc-ZEB2-14:1	3.4543505	3.4977007	2.757311	1.6640131	1.0372329	2.2640252
incR708	lnc-ZFAND3-4:1	2.8434532	2.9541845	3.0770125	1.6066397	2.7015595	2.0916595
incR709	lnc-ZFC3H1-8:2	5.1551914	5.157461	4.816159	4.581967	4.5121655	4.458708
incR710	lnc-ZMYND8-1:2	5.9615455	6.7797127	6.100648	5.611024	5.4484754	5.757882
incR711	lnc-ZNF100-8:1	3.3204322	2.882732	2.4391336	1.9642682	1.94643	2.467799
incR712	lnc-ZNF165-1:1	11.392688	11.26975	11.181423	10.978915	10.701142	10.800171
incR713	lnc-ZNF229-1:3	3.3139577	2.5706608	2.976559	2.478052	1.7906411	1.8608408
incR714	lnc-ZNF280B-3:1	5.633125	5.863002	5.361636	4.900003	4.11781	4.9255347
incR715	lnc-ZNF347-1:1	4.1727467	4.1044397	4.0305233	3.5412726	3.8694568	3.1311376
incR716	lnc-ZNF397-5:1	3.3577082	2.9622645	2.9990342	1.1521583	2.2374454	2.323655
incR717	lnc-ZNF415-4:8	4.416402	4.717272	4.9779906	4.4106693	4.164031	3.9105687
incR718	lnc-ZNF479-11:1	7.05004	6.3425303	6.390213	6.1183915	5.6419587	5.6058617
incR719	lnc-ZNF503-AS2-10:1	3.8125954	3.20359	4.0810356	2.3050182	2.993081	2.6464972
incR720	lnc-ZNF565-1:1	2.8804817	2.6397843	2.0466766	1.2900484	1.9290905	1.1891986
incR721	lnc-ZNF622-1:2	2.176845	2.4450753	2.6609104	1.7603854	1.0277568	0.97649616
incR722	lnc-ZNF652-1:1	7.136091	6.392515	6.657098	6.2620044	5.976859	6.1285954
incR723	lnc-ZNF674-2:4	4.0917535	4.234193	4.3354588	3.581682	4.024041	3.4986172
incR724	lnc-ZNF680-1:1	5.703923	5.342595	6.4632764	4.8722644	4.740081	4.6538353
incR725	lnc-ZNF687-3:1	3.66125	2.933967	3.4269059	2.1108577	2.9772596	1.8054731
