0	gene	DN	DN	DN	ctrl	ctrl	ctrl
860	BMP2	6.022367813	6.729280846	6.475733431	9.491051376	9.837470253	9.24531501
866	BMP7	6.548436625	9.160627797	8.226893814	10.36785153	9.607330314	9.696272084
910	BST1	8.712527	6.633721813	8.48984796	10.01066796	9.795877317	9.411934625
911	BST2	12.79743862	12.4634222	12.84107288	14.5862358	14.43423727	13.16915774
915	BTC	5.827819025	4.66106548	5.554588852	8.113221243	7.672425342	6.559185866
922	BTG2	10.57099413	11.00646634	10.51036858	11.53755816	12.07196507	11.35049725
923	BTG3	8.403651186	8.337844867	8.625526212	9.654546529	9.310271947	8.984276034
943	C11orf58	9.80928581	9.676133391	9.245077275	10.33996132	10.46137712	10.35347768
970	C1orf21	6.777419716	6.95419631	6.809928866	9.000281749	9.749031382	9.759888183
966	C1R	10.54853296	9.902827299	11.04330075	12.96211879	12.85321207	12.49383044
967	C1S	10.15203127	9.489446599	10.67330908	12.55846855	12.42992974	11.83971557
997	C5orf15	10.75380173	10.87182825	10.15545073	11.87870235	11.49470561	11.42106547
1007	C6orf62	8.284939742	8.793115555	6.270528942	9.689473895	9.378078056	9.069584028
1043	CACNB2	6.252665432	8.185866545	8.010108453	9.961377341	10.13301374	8.794578323
1064	CALD1	9.448735798	10.09711036	8.779883475	10.92788905	11.2836961	10.88252842
1069	CALU	10.03809592	9.668884984	9.370687407	10.52169858	10.8660425	10.77988347
1080	CAMSAP2	9.950993232	10.19118262	8.971256136	11.0915015	10.77700868	11.09077405
1084	CAND2	7.846117173	6.048759312	8.334496768	10.215533	9.787902559	9.74348804
1085	CANX	12.79201751	12.92609211	12.06184369	13.50128985	13.72291424	13.84756635
1092	CAPN2	13.37514806	12.85126103	12.92293741	14.10810786	13.46682847	13.97131901
1130	CBFB	10.18883607	10.17367714	9.211644987	10.92762983	10.48683502	11.08221558
1132	CBLB	9.215290306	9.335985623	9.018478396	10.89915523	11.26516553	10.42944127
1138	CBX1	8.183883459	8.867587635	8.826548487	9.708049252	9.549784668	9.611946942
1145	CBY1	9.048486874	8.533719071	9.598610855	10.0558247	9.645658432	10.18846522
