incR0	lncipediaID	Case1	Case2	Case3	control1	control2	control3
incR888	lnc-C5orf43-4:10	1.5639042	1.4468687	1.7892748	1.9816582	2.2134974	2.201658
incR889	lnc-C6orf115-2:1	2.5103967	2.6335182	2.9872935	3.1469321	3.5221546	3.2670126
incR890	lnc-C6orf138-1:1	2.5047102	2.3708744	2.191501	2.9950278	2.9021056	3.2707505
incR891	lnc-C6orf195-10:1	1.4207902	1.2031736	2.3727167	2.3482885	2.9798946	3.1868758
incR892	lnc-C6orf99-5:1	5.697646	5.7715864	5.84012	6.111739	6.2017326	6.1757994
incR893	lnc-C7orf44-4:1	3.0551674	3.6213708	3.221232	3.8209698	4.1184464	3.896494
incR894	lnc-C8G-3:1	1.3682021	0.992167	0.8510325	1.7231345	2.1940358	1.520563
incR895	lnc-C9orf104-6:1	2.38521	1.8864214	0.99522996	3.6014543	2.8813322	3.159862
incR896	lnc-CA10-3:1	4.3735666	3.906705	4.2180243	4.815487	4.8244658	5.1455956
incR897	lnc-CA5A-1:1	1.2001332	0.9985414	0.94806015	2.2612338	4.0575786	3.6221964
incR898	lnc-CA5A-12:1	3.951817	3.9328039	4.12282	4.3955503	4.727833	4.3463006
incR899	lnc-CA5A-9:1	3.5106137	3.3656902	3.7878563	3.7360978	4.127042	4.1060524
incR900	lnc-CAB39-2:1	5.655259	5.45008	5.6636558	5.8053255	6.1389165	6.1831374
incR901	lnc-CACNB3-1:3	2.6118946	3.1076586	2.4979234	3.6606822	3.611817	3.4684057
incR902	lnc-CARD16-1:1	5.9999433	6.4530807	6.0967503	6.5626316	6.7992835	6.8610234
incR903	lnc-CBX7-1:1	1.3372046	0.99567187	0.9645857	2.4877605	2.7548068	2.2326407
incR904	lnc-CCAR1-3:1	10.666935	10.740875	10.460435	10.91218	11.367759	11.409301
incR905	lnc-CCDC37-3:1	4.055076	4.192069	4.1258297	4.4889255	4.7613115	4.4577713
incR906	lnc-CCDC51-6:1	8.006541	7.6787386	7.9913797	8.205057	8.373792	8.317646
incR907	lnc-CCDC64-2:1	3.1101427	3.448013	3.3730123	3.7635934	3.901363	3.9835691
incR908	lnc-CCDC8-2:1	5.313278	5.356637	5.186446	5.5472536	6.0073953	5.6891003
incR909	lnc-CCDC89-6:1	1.5543141	0.8810606	0.9211166	1.6218731	2.2095108	1.8412867
incR910	lnc-CCDC90A-9:1	6.664575	6.4448156	6.5089417	6.8320823	7.0985813	7.4328885
incR911	lnc-CCK-2:1	3.0200868	2.551612	3.252177	3.5258694	3.8269944	3.6348453
incR912	lnc-CCKAR-2:1	5.363347	5.64076	5.577693	5.8391676	6.1482835	6.03377
incR913	lnc-CCR4-2:1	4.010832	4.5128036	4.1356153	4.605871	4.9856386	4.879888
incR914	lnc-CD1B-6:1	4.717119	4.7887073	4.522057	4.861173	5.022787	5.3659067
incR915	lnc-CDC42-1:1	2.1508493	2.057866	1.991745	2.5587695	2.645622	2.6982498
incR916	lnc-CDC7-1:3	5.5019674	5.632231	5.556384	5.875143	6.1274166	5.975422
incR917	lnc-CDC73-13:1	2.1358712	2.124571	2.0519004	2.5667522	2.9535122	2.2589571
incR918	lnc-CDH1-6:1	9.762422	10.175224	10.179372	10.408674	10.551285	10.347977
incR919	lnc-CDH18-19:1	5.847488	6.2724905	6.216853	6.539454	6.5335155	6.725092
incR920	lnc-CDH6-11:1	4.521421	5.0140314	4.7482986	5.1267486	5.301934	5.127829
incR921	lnc-CDK17-10:1	3.5901546	3.6678987	4.228354	4.7939363	4.3870087	4.3177547
incR922	lnc-CDK5R2-4:1	3.9925332	3.9646177	4.4020376	4.8213663	4.497724	4.938694
incR923	lnc-CDNF-3:1	3.1754594	3.2765582	3.1084473	3.4405136	4.026392	3.5827036
incR924	lnc-CDO1-2:1	3.756321	4.1218452	3.676389	4.3092785	4.555653	4.6598463
incR925	lnc-CDYL-18:1	4.5053554	4.114749	4.2961845	4.7440076	5.2359776	5.0308533
incR926	lnc-CEBPA-3:1	4.0609317	4.6251187	4.6158223	4.8052225	4.9451466	5.012998
incR927	lnc-CECR1-2:1	8.143339	7.9206324	8.470259	8.658179	8.599562	8.640524
incR928	lnc-CENPJ-4:1	9.395663	9.676918	9.210798	9.84515	9.821119	9.79146
incR929	lnc-CENPN-1:1	2.7673295	3.048277	2.687257	4.1048574	3.4079494	4.1140985
incR930	lnc-CEP250-1:1	4.4817343	4.736619	4.597114	4.974502	5.1208334	5.286782
incR931	lnc-CERKL-4:3	5.3427854	4.9290776	4.954787	5.4046054	6.003969	5.645374
incR932	lnc-CERKL-8:1	3.637268	3.9255202	4.2921124	4.7098923	4.6244783	4.5748725
incR933	lnc-CFLAR-2:1	7.3790827	7.6885166	7.2417016	7.738448	7.9353075	7.8205934
incR934	lnc-CHAC2-4:1	2.1137567	0.9544195	1.6532845	3.026341	2.391821	2.8963914
incR935	lnc-CHD2-3:1	4.6781235	4.572995	4.581967	5.1841125	5.0750813	4.9428678
incR936	lnc-CHM-7:1	11.931562	12.241439	11.737176	12.274525	12.550279	12.436586
incR937	lnc-CHN1-3:1	9.506805	9.6551075	9.408048	9.804941	10.280272	10.222334
incR938	lnc-CHODL-7:1	3.1332676	3.027005	2.977544	3.4150171	3.8311334	3.9354644
incR939	lnc-CIT-2:1	2.2825549	2.6053138	2.4194376	2.8817172	3.1184707	3.09162
incR940	lnc-CLEC4M-3:1	0.92784107	0.8788866	0.94548875	1.5830756	1.804478	1.0645813
incR941	lnc-CLIC3-1:2	0.8683674	0.9720661	0.90091467	2.5714078	2.252722	2.078002
incR942	lnc-CLIC6-5:1	0.9556782	1.1678638	0.9902635	2.3589735	1.6536248	2.550982
incR943	lnc-CMC1-4:1	11.00069	11.392688	10.839694	11.338497	11.768262	11.658828
incR944	lnc-CMC1-8:1	3.5081358	3.0837135	3.7673671	3.9845777	4.5056486	4.1999836
incR945	lnc-CMPK2-27:1	5.4881973	5.852417	5.9713173	6.2160034	6.2110596	6.207028
incR946	lnc-CNOT6-1:1	5.4934697	5.618767	5.4997015	5.8327403	6.1409426	5.9399896
incR947	lnc-COL4A2-8:1	3.2789624	3.7140365	3.1964421	3.9865162	4.0553465	4.245579
incR948	lnc-COL9A2-5:1	2.2713027	2.508498	3.1068587	3.1420584	3.741723	3.629312
incR949	lnc-COMMD1-5:1	12.47219	12.427337	11.921176	12.59305	12.962275	12.948435
incR950	lnc-COX6A1P2-1:1	7.1075344	7.6216593	7.4384127	7.6027193	8.088855	7.9809604
incR951	lnc-CPA5-1:1	1.4737605	2.2817073	2.6890166	3.5953174	3.1053245	2.7659333
incR952	lnc-CPNE4-2:1	5.0304513	5.3577547	4.5951347	5.9439073	5.627846	5.6555214
incR953	lnc-CPPED1-2:1	1.5611858	2.3215868	2.0036936	2.6450121	3.4191418	2.8200147
incR954	lnc-CSNK1A1-5:1	3.3369465	3.5935223	3.6802893	4.1025224	4.3473396	4.4096637
incR955	lnc-CTBP2-1:1	1.1184163	1.339119	1.5594761	1.5625626	2.0499566	2.3947933
incR956	lnc-CTC-236F12.4.1-5:1	4.8020506	5.153458	5.212456	5.374	5.792655	5.6603565
incR957	lnc-CTD-2144E22.5.1-7:1	7.9491057	8.318814	8.148564	8.432782	8.712324	8.598278
incR958	lnc-CTD-2523D13.1.1-4:1	0.97615325	1.1563265	0.9992101	1.9076827	3.0494359	2.146397
incR959	lnc-CTDSP1-2:1	4.69802	5.14926	5.1099277	5.4783325	5.2878056	5.385697
incR960	lnc-CTDSPL-3:1	10.902827	10.955259	10.954164	11.116812	11.7486	11.670731
incR961	lnc-CTH-14:1	3.1938148	3.808357	3.493686	4.608894	4.3187566	4.0722156
incR962	lnc-CTNNA1-2:4	3.7921164	3.151525	3.902678	4.206761	4.210117	4.2199774
incR963	lnc-CTNNA3-7:1	0.9849015	0.95771486	1.0131714	2.924449	1.5348893	2.0813344
incR964	lnc-CTSZ-10:1	2.3970537	2.5047715	1.6760381	2.7029574	3.021391	3.1716778
incR965	lnc-CXCL12-5:1	14.283919	14.5481825	14.063906	14.506525	15.063871	14.931941
incR966	lnc-CXorf58-3:1	2.3529632	2.4046087	2.205343	2.6108198	2.8750246	3.3044696
incR967	lnc-CXorf64-6:1	3.9561594	4.1146774	4.4847403	4.5509405	4.6357517	4.8745275
incR968	lnc-CYGB-3:1	3.2466273	3.326484	3.3033018	3.6179242	3.9220176	3.6301005
incR969	lnc-CYP1A1-1:1	2.1549025	1.4441236	0.94278187	2.4895704	2.5547771	2.1174133
incR970	lnc-CYP2C8-1:1	3.9313092	4.0858235	4.3208656	4.3931713	4.5010104	4.6189237
incR971	lnc-CYP3A43-6:1	1.1409934	2.058133	1.247575	2.773988	2.7719924	3.9709802
incR972	lnc-CYP3A7-1:1	3.532722	3.0770125	4.0031385	4.3633995	4.839057	4.337558
incR973	lnc-DAAM2-6:1	1.706332	2.2801223	0.9631354	3.0002804	2.5937157	2.4351022
incR974	lnc-DCDC1-1:1	2.970196	3.2116659	2.825281	3.4704475	3.6917882	3.7175941
incR975	lnc-DCDC2C-2:1	0.8607612	0.9478866	0.896533	2.2575343	1.3524556	1.8513038
incR976	lnc-DCUN1D5-3:1	2.283597	2.2826831	2.4028482	2.917553	2.7170577	2.8032045
incR977	lnc-DDC-3:6	3.2288198	3.3229744	2.5368655	3.854202	3.9878454	3.6559913
